url,title,channel,video_id,duration_minutes,width,height,fps,source_type,expected_accent,visual_quality_score,audio_quality_score,context_score,total_score,visual_decision,audio_decision,decision,reasons,recommended_use,usable_minutes_estimate,accepted_clips_estimate,uncertainty
https://www.youtube.com/watch?v=h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,h3HtBhArO1Q,158.0,640,360,30,podcast,argentino/rioplatense_probable,84.25,96.38,98.0,90.64,accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,ingest_partial,60,1228.0,low
https://www.youtube.com/watch?v=EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,EhYznjqlcKY,39.3,480,360,25,other,argentino/rioplatense_probable,92.74,90.0,80.0,89.37,strong_accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,34.01,408.0,low
https://www.youtube.com/watch?v=YYIVFA000BI,Pepe Mujica con Jorge Fontevecchia (Entrevista Completa),Perfil,YYIVFA000BI,116.7,640,360,30,interview,argentino/rioplatense_probable,93.07,77.03,98.0,89.24,strong_accept,maybe_review,accept,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_partial,56.86,682.0,medium:audio_asr_confirmado
https://www.youtube.com/watch?v=WMk6afYRfKM,"Entrevista en “IP Noticias” con Noelia Barral, Romina Calderaro y Nora Veiras - IP - 07/02/2021",Alberto Fernández,WMk6afYRfKM,91.183,640,360,30,interview,argentino/rioplatense_probable,84.8,90.0,98.0,89.0,accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_partial,56.7,680.0,low
https://www.youtube.com/watch?v=PRQEkiIWps0,Coscu Mete Un Bombazo Histórico Después De Probar Las Salsas Más Picantes Del Mundo,Terapia Picante,PRQEkiIWps0,40.717,640,360,24,streamer,argentino/rioplatense_probable,84.63,90.0,98.0,88.92,accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_streamer|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,27.57,331.0,low
https://www.youtube.com/watch?v=sjnH4bTak9s,Obstáculos ideológicos en el empleo,Universidad Torcuato Di Tella,sjnH4bTak9s,23.833,640,360,25,interview,argentino/rioplatense_probable,82.07,94.06,98.0,88.85,accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,9.13,110.0,low
https://www.youtube.com/watch?v=q94HfK07DjI,El último reportaje del papa Francisco con Infobae,Infobae,q94HfK07DjI,47.067,640,360,30,interview,argentino/rioplatense_probable,91.01,77.61,98.0,88.39,strong_accept,maybe_review,accept,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,24.55,295.0,medium:audio_asr_confirmado
https://www.youtube.com/watch?v=EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,EuSM3LscaWI,57.1,640,360,25,podcast,argentino/rioplatense_probable,80.21,92.58,98.0,87.48,accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,25.5,306.0,low
https://www.youtube.com/watch?v=IGYG0Kn0wxo,ENTREVISTA: DIEGO TORRES,Congo,IGYG0Kn0wxo,37.8,640,360,25,interview,argentino/rioplatense_probable,91.29,94.39,63.0,86.56,strong_accept,strong_accept,accept,audio_proxy_alto|audio_score_sobre_threshold|contexto_incierto|formato_a_evitar_keyword|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,31.17,374.0,low
https://www.youtube.com/watch?v=OA1biHKSyTw,El Método Rebord #48 - Alejandro Dolina,El Método Rebord,OA1biHKSyTw,123.233,640,360,30,educational,argentino/rioplatense_probable,91.94,82.41,98.0,90.29,strong_accept,accept,maybe_review,audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_proxy_suficiente|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,manual_review,0.0,0,low
https://www.youtube.com/watch?v=1q6HfhZUGhc,Historias debidas VIII: Silvia Rivera Cusicanqui - Canal Encuentro,Canal Encuentro,1q6HfhZUGhc,56.717,640,360,25,interview,argentino/rioplatense_probable,79.81,100.0,98.0,89.5,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,manual_review,8.87,106.0,medium:samples_incompletos
https://www.youtube.com/watch?v=qfBtw6r0Dvc,EXPLOTÓ el DEBATE entre DIEGO RECALDE CONTRA TODOS | DOMINBORD #7 | BLENDER,BLENDER,qfBtw6r0Dvc,118.233,640,360,30,conversation,argentino/rioplatense_probable,86.72,98.7,80.0,88.97,accept,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_conversation|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,manual_review,0.0,0,low
