Failed to import Flash Attention, using ESPnet default: No module named 'flash_attn'
train=4818  val=466  batch=1  device=cuda
/home/joacoszterensus/miniconda3/envs/vsr-factors/lib/python3.8/site-packages/espnet2/asr/espnet_model.py:402: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(self.autocast_frontend, dtype=autocast_type):
ep4 it1500/4818 loss=25.659
ep4 it1600/4818 loss=95.633
ep4 it1700/4818 loss=60.580
ep4 it1800/4818 loss=42.417
ep4 it1900/4818 loss=122.813
ep4 it2000/4818 loss=41.647
ep4 it2100/4818 loss=20.436
ep4 it2200/4818 loss=44.113
ep4 it2300/4818 loss=53.780
ep4 it2400/4818 loss=27.395
ep4 it2500/4818 loss=32.582
ep4 it2600/4818 loss=16.805
ep4 it2700/4818 loss=19.703
ep4 it2800/4818 loss=25.529
ep4 it2900/4818 loss=39.732
ep4 it3000/4818 loss=37.099
ep4 it3100/4818 loss=56.206
ep4 it3200/4818 loss=16.976
ep4 it3300/4818 loss=57.343
ep4 it3400/4818 loss=35.346
ep4 it3500/4818 loss=19.861
ep4 it3600/4818 loss=74.618
ep4 it3700/4818 loss=94.534
ep4 it3800/4818 loss=23.240
ep4 it3900/4818 loss=26.172
ep4 it4000/4818 loss=85.269
ep4 it4100/4818 loss=33.938
ep4 it4200/4818 loss=63.273
ep4 it4300/4818 loss=22.253
ep4 it4400/4818 loss=13.642
ep4 it4500/4818 loss=49.105
ep4 it4600/4818 loss=25.666
ep4 it4700/4818 loss=36.852
ep4 it4800/4818 loss=13.538
== ep4 val_loss=53.0838 ==
ep5 it0/4818 loss=29.668
ep5 it100/4818 loss=9.526
ep5 it200/4818 loss=39.328
ep5 it300/4818 loss=22.203
ep5 it400/4818 loss=64.706
ep5 it500/4818 loss=46.615
ep5 it600/4818 loss=19.651
ep5 it700/4818 loss=25.096
ep5 it800/4818 loss=10.726
ep5 it900/4818 loss=14.697
ep5 it1000/4818 loss=22.777
ep5 it1100/4818 loss=62.718
ep5 it1200/4818 loss=47.119
ep5 it1300/4818 loss=38.327
ep5 it1400/4818 loss=76.901
ep5 it1500/4818 loss=70.764
ep5 it1600/4818 loss=82.579
ep5 it1700/4818 loss=67.015
ep5 it1800/4818 loss=26.638
ep5 it1900/4818 loss=64.340
ep5 it2000/4818 loss=35.770
ep5 it2100/4818 loss=21.435
ep5 it2200/4818 loss=16.890
ep5 it2300/4818 loss=35.147
ep5 it2400/4818 loss=46.363
ep5 it2500/4818 loss=41.789
ep5 it2600/4818 loss=27.003
ep5 it2700/4818 loss=45.810
ep5 it2800/4818 loss=47.812
ep5 it2900/4818 loss=119.810
ep5 it3000/4818 loss=58.179
ep5 it3100/4818 loss=38.413
ep5 it3200/4818 loss=63.544
ep5 it3300/4818 loss=117.531
ep5 it3400/4818 loss=84.342
ep5 it3500/4818 loss=63.601
ep5 it3600/4818 loss=78.116
ep5 it3700/4818 loss=76.860
ep5 it3800/4818 loss=69.269
ep5 it3900/4818 loss=36.249
ep5 it4000/4818 loss=27.683
ep5 it4100/4818 loss=14.483
ep5 it4200/4818 loss=72.406
ep5 it4300/4818 loss=30.969
ep5 it4400/4818 loss=36.802
ep5 it4500/4818 loss=41.525
ep5 it4600/4818 loss=55.686
ep5 it4700/4818 loss=22.789
ep5 it4800/4818 loss=46.763
== ep5 val_loss=54.2094 ==
ep6 it0/4818 loss=28.706
ep6 it100/4818 loss=5.976
ep6 it200/4818 loss=22.645
ep6 it300/4818 loss=88.385
ep6 it400/4818 loss=15.359
ep6 it500/4818 loss=67.063
ep6 it600/4818 loss=48.995
ep6 it700/4818 loss=21.768
ep6 it800/4818 loss=11.449
ep6 it900/4818 loss=28.838
ep6 it1000/4818 loss=22.953
ep6 it1100/4818 loss=19.761
ep6 it1200/4818 loss=47.396
ep6 it1300/4818 loss=19.915
ep6 it1400/4818 loss=24.527
ep6 it1500/4818 loss=36.023
ep6 it1600/4818 loss=50.464
ep6 it1700/4818 loss=17.680
ep6 it1800/4818 loss=31.559
ep6 it1900/4818 loss=40.686
ep6 it2000/4818 loss=55.106
ep6 it2100/4818 loss=65.613
ep6 it2200/4818 loss=47.610
ep6 it2300/4818 loss=38.933
ep6 it2400/4818 loss=37.410
ep6 it2500/4818 loss=63.725
ep6 it2600/4818 loss=11.691
ep6 it2700/4818 loss=15.512
ep6 it2800/4818 loss=39.926
ep6 it2900/4818 loss=13.808
ep6 it3000/4818 loss=61.793
ep6 it3100/4818 loss=93.005
ep6 it3200/4818 loss=27.641
ep6 it3300/4818 loss=13.217
ep6 it3400/4818 loss=73.432
ep6 it3500/4818 loss=84.129
ep6 it3600/4818 loss=24.508
ep6 it3700/4818 loss=52.868
ep6 it3800/4818 loss=23.147
ep6 it3900/4818 loss=16.544
ep6 it4000/4818 loss=111.322
ep6 it4100/4818 loss=59.797
ep6 it4200/4818 loss=28.210
ep6 it4300/4818 loss=40.939
ep6 it4400/4818 loss=24.443
ep6 it4500/4818 loss=31.710
ep6 it4600/4818 loss=26.088
ep6 it4700/4818 loss=15.294
ep6 it4800/4818 loss=8.030
== ep6 val_loss=54.9702 ==
ep7 it0/4818 loss=11.854
ep7 it100/4818 loss=24.062
ep7 it200/4818 loss=84.958
ep7 it300/4818 loss=19.400
ep7 it400/4818 loss=69.503
ep7 it500/4818 loss=48.371
ep7 it600/4818 loss=7.603
ep7 it700/4818 loss=14.852
ep7 it800/4818 loss=54.557
ep7 it900/4818 loss=5.471
ep7 it1000/4818 loss=32.803
ep7 it1100/4818 loss=30.267
ep7 it1200/4818 loss=23.435
ep7 it1300/4818 loss=6.014
ep7 it1400/4818 loss=37.047
ep7 it1500/4818 loss=12.371
ep7 it1600/4818 loss=4.830
ep7 it1700/4818 loss=93.863
ep7 it1800/4818 loss=14.894
ep7 it1900/4818 loss=42.821
ep7 it2000/4818 loss=51.677
ep7 it2100/4818 loss=47.105
ep7 it2200/4818 loss=35.804
ep7 it2300/4818 loss=25.210
ep7 it2400/4818 loss=38.862
ep7 it2500/4818 loss=50.648
