"dataset_group","source_id","url","status","used_cookies_from_browser","local_video_path","local_audio_path","gcs_video_path","gcs_audio_path","gcs_info_path","gcs_log_path","notes"
"argentina/new/discovery","JixCyhEGE0A","https://www.youtube.com/watch?v=JixCyhEGE0A","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\JixCyhEGE0A\JixCyhEGE0A.f136.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\JixCyhEGE0A\JixCyhEGE0A.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/JixCyhEGE0A/JixCyhEGE0A.f136.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/JixCyhEGE0A/JixCyhEGE0A.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/JixCyhEGE0A/JixCyhEGE0A.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/JixCyhEGE0A/JixCyhEGE0A.download.log",""
"argentina/new/discovery","EhYznjqlcKY","https://www.youtube.com/watch?v=EhYznjqlcKY","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\EhYznjqlcKY\EhYznjqlcKY.f135.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\EhYznjqlcKY\EhYznjqlcKY.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/EhYznjqlcKY/EhYznjqlcKY.f135.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/EhYznjqlcKY/EhYznjqlcKY.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/EhYznjqlcKY/EhYznjqlcKY.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/EhYznjqlcKY/EhYznjqlcKY.download.log",""
"argentina/new/discovery","IGYG0Kn0wxo","https://www.youtube.com/watch?v=IGYG0Kn0wxo","downloaded_uploaded_retry_single_webm","false","","","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/IGYG0Kn0wxo/IGYG0Kn0wxo.f243.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/IGYG0Kn0wxo/IGYG0Kn0wxo.f243.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/IGYG0Kn0wxo/IGYG0Kn0wxo.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/IGYG0Kn0wxo/IGYG0Kn0wxo.download.log","retry_final_download_succeeded_but_video_audio_same_webm_may_fail_segmentation"
"argentina/new/discovery","PRQEkiIWps0","https://www.youtube.com/watch?v=PRQEkiIWps0","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\PRQEkiIWps0\PRQEkiIWps0.f398.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\PRQEkiIWps0\PRQEkiIWps0.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/PRQEkiIWps0/PRQEkiIWps0.f398.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/PRQEkiIWps0/PRQEkiIWps0.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/PRQEkiIWps0/PRQEkiIWps0.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/PRQEkiIWps0/PRQEkiIWps0.download.log",""
"argentina/new/discovery","EuSM3LscaWI","https://www.youtube.com/watch?v=EuSM3LscaWI","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\EuSM3LscaWI\EuSM3LscaWI.f398.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\EuSM3LscaWI\EuSM3LscaWI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/EuSM3LscaWI/EuSM3LscaWI.f398.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/EuSM3LscaWI/EuSM3LscaWI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/EuSM3LscaWI/EuSM3LscaWI.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/EuSM3LscaWI/EuSM3LscaWI.download.log",""
"argentina/new/discovery","q94HfK07DjI","https://www.youtube.com/watch?v=q94HfK07DjI","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\q94HfK07DjI\q94HfK07DjI.f398.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\q94HfK07DjI\q94HfK07DjI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/q94HfK07DjI/q94HfK07DjI.f398.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/q94HfK07DjI/q94HfK07DjI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/q94HfK07DjI/q94HfK07DjI.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/q94HfK07DjI/q94HfK07DjI.download.log",""
"argentina/new/discovery","R3f0x1IJvhI","https://www.youtube.com/watch?v=R3f0x1IJvhI","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\R3f0x1IJvhI\R3f0x1IJvhI.f398.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\R3f0x1IJvhI\R3f0x1IJvhI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/R3f0x1IJvhI/R3f0x1IJvhI.f398.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/R3f0x1IJvhI/R3f0x1IJvhI.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/R3f0x1IJvhI/R3f0x1IJvhI.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/R3f0x1IJvhI/R3f0x1IJvhI.download.log",""
"argentina/new/discovery","yJxDKBgw5NU","https://www.youtube.com/watch?v=yJxDKBgw5NU","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\yJxDKBgw5NU\yJxDKBgw5NU.f136.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\yJxDKBgw5NU\yJxDKBgw5NU.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/yJxDKBgw5NU/yJxDKBgw5NU.f136.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/yJxDKBgw5NU/yJxDKBgw5NU.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/yJxDKBgw5NU/yJxDKBgw5NU.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/yJxDKBgw5NU/yJxDKBgw5NU.download.log",""
"argentina/new/discovery","vDNy6EN7bIY","https://www.youtube.com/watch?v=vDNy6EN7bIY","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\vDNy6EN7bIY\vDNy6EN7bIY.f247.webm","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\vDNy6EN7bIY\vDNy6EN7bIY.f247.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/vDNy6EN7bIY/vDNy6EN7bIY.f247.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/vDNy6EN7bIY/vDNy6EN7bIY.f247.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/vDNy6EN7bIY/vDNy6EN7bIY.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/vDNy6EN7bIY/vDNy6EN7bIY.download.log",""
"argentina/new/discovery","sjnH4bTak9s","https://www.youtube.com/watch?v=sjnH4bTak9s","downloaded_uploaded","false","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\sjnH4bTak9s\sjnH4bTak9s.f136.mp4","C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_pipeline/release\local_sources\argentina_new_discovery\sjnH4bTak9s\sjnH4bTak9s.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/sjnH4bTak9s/sjnH4bTak9s.f136.mp4","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/sjnH4bTak9s/sjnH4bTak9s.f251.webm","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/sjnH4bTak9s/sjnH4bTak9s.info.json","gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/sjnH4bTak9s/sjnH4bTak9s.download.log",""
