[download]  39.3% of   99.30MiB at  558.87KiB/s ETA 01:50  
[download]  39.3% of   99.30MiB at    1.01MiB/s ETA 00:59
[download]  39.3% of   99.30MiB at    2.08MiB/s ETA 00:30
[download]  39.3% of   99.30MiB at    3.43MiB/s ETA 00:17
[download]  39.4% of   99.30MiB at    3.32MiB/s ETA 00:18
[download]  39.5% of   99.30MiB at    4.91MiB/s ETA 00:12
[download]  39.8% of   99.30MiB at    4.43MiB/s ETA 00:13
[download]  40.3% of   99.30MiB at    5.48MiB/s ETA 00:10
[download]  41.3% of   99.30MiB at    5.23MiB/s ETA 00:11
[download]  43.3% of   99.30MiB at    5.23MiB/s ETA 00:10
[download]  47.3% of   99.30MiB at    5.40MiB/s ETA 00:09
[download]  48.9% of   99.30MiB at    5.50MiB/s ETA 00:09
[download]  48.9% of   99.30MiB at  Unknown B/s ETA Unknown
[download]  48.9% of   99.30MiB at  203.68KiB/s ETA 04:15  
[download]  48.9% of   99.30MiB at  444.18KiB/s ETA 01:57
[download]  48.9% of   99.30MiB at  894.03KiB/s ETA 00:58
[download]  48.9% of   99.30MiB at    1.80MiB/s ETA 00:28
[download]  48.9% of   99.30MiB at    3.67MiB/s ETA 00:13
[download]  49.0% of   99.30MiB at    3.91MiB/s ETA 00:12
[download]  49.1% of   99.30MiB at    4.96MiB/s ETA 00:10
[download]  49.4% of   99.30MiB at    6.02MiB/s ETA 00:08
[download]  49.9% of   99.30MiB at    4.85MiB/s ETA 00:10
[download]  50.9% of   99.30MiB at    5.20MiB/s ETA 00:09
[download]  52.9% of   99.30MiB at    5.25MiB/s ETA 00:08
[download]  56.9% of   99.30MiB at    4.84MiB/s ETA 00:08
[download]  58.5% of   99.30MiB at    4.92MiB/s ETA 00:08
[download]  58.5% of   99.30MiB at  600.90KiB/s ETA 01:10
[download]  58.5% of   99.30MiB at    1.76MiB/s ETA 00:23
[download]  58.5% of   99.30MiB at    4.11MiB/s ETA 00:10
[download]  58.5% of   99.30MiB at    8.80MiB/s ETA 00:04
[download]  58.6% of   99.30MiB at   18.19MiB/s ETA 00:02
[download]  58.6% of   99.30MiB at   36.97MiB/s ETA 00:01
[download]  58.7% of   99.30MiB at    7.36MiB/s ETA 00:05
[download]  58.8% of   99.30MiB at    7.28MiB/s ETA 00:05
[download]  59.0% of   99.30MiB at    6.24MiB/s ETA 00:06
[download]  59.5% of   99.30MiB at    5.54MiB/s ETA 00:07
[download]  60.5% of   99.30MiB at    5.01MiB/s ETA 00:07
[download]  62.6% of   99.30MiB at    5.11MiB/s ETA 00:07
