source_url,title,channel,source_type,expected_accent,expected_speaker_count,notes
https://www.youtube.com/channel/UCnr16DQxV5TK_zWtImc40Xg,🇦🇷How to speak Argentinian Spanish🇦🇷 (English and Spanish subtitles),Español con Michelle B.,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCfZK2qHng49plfsClYlDUZQ,INSTRUCCIÓN EN BASE A LAS COMPETENCIAS AERONÁUTICAS,Sociedad Argentina De Aviacion,educational,argentino/rioplatense_probable,1,seed_from_youtube_search
,,unknown,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCVdl9VhGUWWTuHK3503LyVw,"ANGUSTIAS, VERGÜENZAS y BASURA - Especial de Stand up - Lucas Lauriente",Lucas Lauriente,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCp0QZt6Un5E8C8sCgCaaG4Q,monologo Julieta Zaballa,mariela bedini,monologue,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCl7BczPQ0VZWveQX32N2UxQ,El histórico monólogo N° 2000 de Tato Bores - Planeta Tato Bores,Planeta Tato Bores,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCvd-UIc-Rxtubx3uoiYbBGA,El Método Rebord #21 - Mario Pergolini,El Método Rebord,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCC1kfsMJko54AqxtcFECt-A,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCMoXshslRbfA7MLTu0dasUA,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,podcast,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCb51q4b0kTrr817NWSMaHyw,Triaca y Moroni debatieron en la EEyN-UNSAM sobre el futuro del trabajo en Argentina,Escuela de Economía y Negocios - UNSAM,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCt1DuTt6cEvUckJD_y3ZZbw,Carlos Pagni en la UNSAM,UNSAM National University of San Martín Argentina,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UC6pJGaMdx5Ter_8zYbLoRgA,LA TRAMPA MORTAL DE BARREDA | CONFESIONES DE BAR con MAURO SZETA #3 | BLENDER,BLENDER,streamer,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCgn6r0aGRBnEQm02tE_jzbw,¿QUÉ PASÓ AYER? EL DÍA DESPUÉS DE LAS LEGISLATIVAS | PROGRAMA COMPLETO de SEGUROLA,Futurock FM,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCL-MUCXcvWIrJBdGef9Nn1Q,ENTREVISTA: DIEGO TORRES,Congo,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCuW8zRhT5kVmcpSILAhiYRw,¡FUERTE CRUCE KUN AGUERO vs DAVO XENEIZE! (VIDEO COMPLETO),SKILLS News,streamer,argentino/rioplatense_probable,1,seed_from_youtube_search
https://www.youtube.com/channel/UC2OeWqfmSEVI2pGbU6DFMkw,Gente Buena #26 - Rodrigo de la Serna | OKUPAS 26 años después,Gente Buena,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCQrz6GQ5sbmtTMEAuPSg4zw,El factor Perón en la historia argentina,Universidad Torcuato Di Tella,educational,argentino/rioplatense_probable,1,seed_from_youtube_search
https://www.youtube.com/channel/UC8UBH2fddTg0eSWChrt9ZSQ,"Conferencia de Florencia Collo. Ciclo ""El Trabajo de los demás"". 18/08/2022",Escuela de Arquitectura y Estudios Urbanos,educational,argentino/rioplatense_probable,1,seed_from_youtube_search
https://www.youtube.com/channel/UC3LNJg0-mcPUa_JdS9XY_-Q,"🎙️Entrevista a Andrés Hatum, Prof  Management y Organización en la  Universidad Torcuato Di Tella.",GhidiniRodil,interview,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCokHw-CWO2ish-ftCin67Lg,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCs231K71Bnu5295_x0MB5Pg,"Otra trama - 327 cuadernos, entrevista a Andres Di Tella - 19-09-15",Televisión Pública,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCSrRqAVVOk8cjYIvlcI-jTA,Entrená tu mente como un atleta,Fundación OSDE,educational,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCUsdzvhadkj-B91pD7D0KFw,Destellos en la oscuridad. Episodio 1. Rita Segato. Participación especial: Valeria Bertuccelli,elDiarioAR,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCxHSIJgKZ8xVXwLGaGZEmKg,"Axel Kicillof con Ernesto Tenembaum: “Milei quiere ser Perú""",Cenital,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCj6PcyLvpnIRT_2W_mwa9Aw,"HABLÓ EL PAPÁ DE AGOSTINA POR PRIMERA VEZ: ""Estuve mano a mano con este tipo y lo grabé""",Todo Noticias,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCba3hpU7EFBSk817y9qZkiA,"""No creo que Adorni sea tan estúpido"": Alfredo Casero, mano a mano con Laura Di Marco",LA NACION,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCcEFFCUo9fD5DK1FcclyKUA,La Caja Negra - Ezequiel Fernández Moores - Periodista,TV Ciudad,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCV1-9PZ5WQAKy7I8vkem-Kg,"La economía Argentina, entrevista a Eduardo Fracchia LN+",IAE Business School,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UC-ttEzrJNxR9DMgot8-Yojw,Emprender... en Udesa 3/3,Maru Buteler Bonpland,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCdEVjvaakM5nQGs6D8Gqy-Q,NORBERTO LOIZEAU en UdeSA | Diálogos con Hacedores - Entrevista Completa,Escuela de Negocios | UdeSA,interview,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCkZLXd-_PVhLXwT9vr6ybHg,Jorge Lanata en el ciclo #1LiderXme​s,Universidad de San Andrés,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCSfMW32JeKVaYwgvUy5D3fw,Clase magistral del Presidente Milei ante alumnos de la Universidad de San Andrés,Oficina del Presidente,educational,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCbI9OJdP0TynNTB0PBrX3pw,El plan estratégico de Argentina | Completo,Pablo H. Plá,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCfLXn7TBKxVajtY2dInmGkQ,"La Psicología de AMAR, REIR y LLORAR con Pilar Sordo | EP 66",Somos Rentable,educational,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCf_fgTB5XN4ap0lnDe2FIMw,Entrevista a Luis Ovsejevich en Lideres Hoy (Canal 26),Fundación Konex,interview,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UC1zLDoKL-eKmd_K7qkUZ-ow,Dictadura Militar en Argentina (1976-1983): La noche más negra | Ver la Historia | Encuentro,Canal Encuentro,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCMIb8--yPdP32qOiyZXG-eg,DIVIDIDOS - Encuentro en el Estudio - Programa Completo,DIVIDIDOS,interview,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCWjKuzUvmjmXWUkFCUAOBpQ,Pedro Aznar - Encuentro en el Estudio HD (Completo),Eduardo Mellado Soto,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCAPrVHc3rsNoE0lRHNvsdYQ,EEEE0611   La Nueva Luna   Encuentro en el Estudio   Programa Completo,Fernando Angel Perez,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCvsU0EGXN7Su7MfNqcTGNHg,El último reportaje del papa Francisco con Infobae,Infobae,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCyxig93YR3E9UiGO8BZhugg,Laura Zommer de Chequeado | Bienvenidos a LatamChequea,Chequeado,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCuPdGuNzikVrRwyolSkj3WA,"Entrevista a Matías Di Santi, Proyecto Chequeado - #LabICMX",Innovación Pública y Ciudadana,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCl6L85YuyK4rVn5NI--dHUw,Pepe Mujica con Jorge Fontevecchia (Entrevista Completa),Perfil,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCJiFFQNwPJEcXRK2yvMHaoQ,ENTREVISTA RADIO PERFIL - JORGE FONTEVECCHIA,Hernan Reyes,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCa0P__Z_C8clZ8FD_lg4Lqg,"Entrevista en “IP Noticias” con Noelia Barral, Romina Calderaro y Nora Veiras - IP - 07/02/2021",Alberto Fernández,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCRHnMqtLJaFT77yI0VFxvAg,"Entrevista al Dr. Alberto Alves de Lima, para IP Noticias",ICBA Instituto Cardiovascular de Buenos Aires,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCjtq6aPBu-5wVv9lDtOXbzg,Entrevista completa en canal IP Noticias- 21/07/2022,Lucía Klug,interview,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCjU0gGM2uoSfvMSGgDGHgiA,Conferencia de Cierre — Rita Segato — VI Congreso Latinoamericano y Caribeño de Ciencias Sociales,FLACSO Argentina,educational,argentino/rioplatense_probable,1,seed_from_youtube_search
