palabras,n_frases,wer,cer,palabras_ref
5,2,60.0,39.53,10
6,3,105.56,68.75,18
7,12,82.14,54.67,84
8,11,68.18,42.95,88
9,27,65.02,34.81,243
10,32,75.62,42.46,320
11,40,75.0,43.93,440
12,43,71.71,40.68,516
13,68,68.55,39.31,884
14,81,68.61,39.8,1134
15,66,67.47,40.03,990
16,69,69.02,42.16,1104
17,35,67.39,40.08,595
18,46,67.27,40.67,828
19,32,65.62,40.03,608
20,21,70.95,42.95,420
21,20,68.81,41.33,420
22,14,74.68,47.39,308
23,9,70.53,43.14,207
24,9,61.57,38.4,216
25,6,58.0,33.55,150
26,1,76.92,44.44,26
27,4,61.11,38.75,108
28,1,78.57,47.83,28
29,4,61.21,41.28,116
30,1,83.33,47.73,30
33,1,87.88,52.76,33
