Failed to import Flash Attention, using ESPnet default: No module named 'flash_attn'
train=4818 val=466 | congelados=['frontend'] entrenables=41.3M | augment=True lr=0.0001 device=cuda
/home/joacoszterensus/miniconda3/envs/vsr-factors/lib/python3.8/site-packages/espnet2/asr/espnet_model.py:402: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(self.autocast_frontend, dtype=autocast_type):
ep4 it1500/4818 loss=17.467
ep4 it1600/4818 loss=15.999
ep4 it1700/4818 loss=101.584
ep4 it1800/4818 loss=57.411
ep4 it1900/4818 loss=122.974
ep4 it2000/4818 loss=42.628
ep4 it2100/4818 loss=35.495
ep4 it2200/4818 loss=54.492
ep4 it2300/4818 loss=62.330
ep4 it2400/4818 loss=54.586
ep4 it2500/4818 loss=88.456
ep4 it2600/4818 loss=27.301
ep4 it2700/4818 loss=54.193
ep4 it2800/4818 loss=34.151
ep4 it2900/4818 loss=37.081
ep4 it3000/4818 loss=40.212
ep4 it3100/4818 loss=51.096
ep4 it3200/4818 loss=50.703
ep4 it3300/4818 loss=33.410
ep4 it3400/4818 loss=27.725
ep4 it3500/4818 loss=91.910
ep4 it3600/4818 loss=77.819
ep4 it3700/4818 loss=57.782
ep4 it3800/4818 loss=115.173
ep4 it3900/4818 loss=90.966
ep4 it4000/4818 loss=50.327
ep4 it4100/4818 loss=70.947
ep4 it4200/4818 loss=78.604
ep4 it4300/4818 loss=53.415
ep4 it4400/4818 loss=37.106
ep4 it4500/4818 loss=39.966
ep4 it4600/4818 loss=82.344
ep4 it4700/4818 loss=64.428
ep4 it4800/4818 loss=72.255
== ep4 val_loss=54.3550 ==
ep5 it0/4818 loss=51.643
ep5 it100/4818 loss=57.869
ep5 it200/4818 loss=5.283
ep5 it300/4818 loss=15.725
ep5 it400/4818 loss=44.215
ep5 it500/4818 loss=20.589
ep5 it600/4818 loss=18.413
ep5 it700/4818 loss=72.041
ep5 it800/4818 loss=64.036
ep5 it900/4818 loss=56.915
ep5 it1000/4818 loss=37.340
ep5 it1100/4818 loss=33.787
ep5 it1200/4818 loss=14.288
ep5 it1300/4818 loss=36.156
ep5 it1400/4818 loss=73.577
ep5 it1500/4818 loss=65.916
ep5 it1600/4818 loss=15.007
ep5 it1700/4818 loss=36.553
ep5 it1800/4818 loss=12.062
ep5 it1900/4818 loss=62.351
ep5 it2000/4818 loss=42.464
ep5 it2100/4818 loss=47.749
ep5 it2200/4818 loss=41.063
ep5 it2300/4818 loss=62.775
ep5 it2400/4818 loss=57.363
ep5 it2500/4818 loss=95.144
ep5 it2600/4818 loss=34.203
ep5 it2700/4818 loss=63.317
ep5 it2800/4818 loss=42.178
ep5 it2900/4818 loss=48.334
ep5 it3000/4818 loss=25.591
ep5 it3100/4818 loss=21.171
ep5 it3200/4818 loss=32.906
ep5 it3300/4818 loss=6.706
ep5 it3400/4818 loss=26.048
ep5 it3500/4818 loss=59.132
ep5 it3600/4818 loss=21.553
ep5 it3700/4818 loss=67.101
ep5 it3800/4818 loss=106.639
ep5 it3900/4818 loss=75.740
ep5 it4000/4818 loss=66.550
ep5 it4100/4818 loss=89.076
ep5 it4200/4818 loss=85.174
ep5 it4300/4818 loss=41.320
ep5 it4400/4818 loss=47.115
ep5 it4500/4818 loss=32.943
ep5 it4600/4818 loss=31.674
ep5 it4700/4818 loss=63.577
ep5 it4800/4818 loss=26.301
== ep5 val_loss=53.5833 ==
ep6 it0/4818 loss=49.132
ep6 it100/4818 loss=24.264
ep6 it200/4818 loss=93.658
ep6 it300/4818 loss=28.641
ep6 it400/4818 loss=75.579
ep6 it500/4818 loss=35.401
ep6 it600/4818 loss=74.641
ep6 it700/4818 loss=58.101
ep6 it800/4818 loss=49.528
ep6 it900/4818 loss=34.573
ep6 it1000/4818 loss=40.410
ep6 it1100/4818 loss=61.982
ep6 it1200/4818 loss=19.228
ep6 it1300/4818 loss=27.731
ep6 it1400/4818 loss=84.083
ep6 it1500/4818 loss=69.412
ep6 it1600/4818 loss=17.600
ep6 it1700/4818 loss=69.835
ep6 it1800/4818 loss=40.272
ep6 it1900/4818 loss=61.783
ep6 it2000/4818 loss=48.616
ep6 it2100/4818 loss=3.912
ep6 it2200/4818 loss=82.971
ep6 it2300/4818 loss=47.695
ep6 it2400/4818 loss=75.283
ep6 it2500/4818 loss=61.048
ep6 it2600/4818 loss=150.908
ep6 it2700/4818 loss=82.307
ep6 it2800/4818 loss=52.812
ep6 it2900/4818 loss=41.123
ep6 it3000/4818 loss=94.083
ep6 it3100/4818 loss=35.229
ep6 it3200/4818 loss=51.167
ep6 it3300/4818 loss=35.347
ep6 it3400/4818 loss=36.195
ep6 it3500/4818 loss=37.717
ep6 it3600/4818 loss=36.866
ep6 it3700/4818 loss=43.002
ep6 it3800/4818 loss=46.325
ep6 it3900/4818 loss=44.418
ep6 it4000/4818 loss=70.639
ep6 it4100/4818 loss=94.285
ep6 it4200/4818 loss=21.966
ep6 it4300/4818 loss=30.084
ep6 it4400/4818 loss=64.660
ep6 it4500/4818 loss=74.896
ep6 it4600/4818 loss=26.956
ep6 it4700/4818 loss=24.694
ep6 it4800/4818 loss=56.651
== ep6 val_loss=54.7557 ==
ep7 it0/4818 loss=35.745
ep7 it100/4818 loss=6.966
ep7 it200/4818 loss=26.267
ep7 it300/4818 loss=68.087
ep7 it400/4818 loss=42.438
ep7 it500/4818 loss=29.424
ep7 it600/4818 loss=97.724
ep7 it700/4818 loss=62.281
ep7 it800/4818 loss=28.094
ep7 it900/4818 loss=50.262
ep7 it1000/4818 loss=24.290
ep7 it1100/4818 loss=132.098
ep7 it1200/4818 loss=54.590
ep7 it1300/4818 loss=24.949
ep7 it1400/4818 loss=69.641
ep7 it1500/4818 loss=31.218
ep7 it1600/4818 loss=62.041
ep7 it1700/4818 loss=13.658
ep7 it1800/4818 loss=80.612
ep7 it1900/4818 loss=42.095
ep7 it2000/4818 loss=47.784
ep7 it2100/4818 loss=51.796
ep7 it2200/4818 loss=68.613
ep7 it2300/4818 loss=43.145
ep7 it2400/4818 loss=71.079
ep7 it2500/4818 loss=19.407
ep7 it2600/4818 loss=40.619
ep7 it2700/4818 loss=64.913
ep7 it2800/4818 loss=29.409
ep7 it2900/4818 loss=14.581
ep7 it3000/4818 loss=64.238
ep7 it3100/4818 loss=64.801
ep7 it3200/4818 loss=33.792
ep7 it3300/4818 loss=90.305
ep7 it3400/4818 loss=47.152
ep7 it3500/4818 loss=35.887
ep7 it3600/4818 loss=43.125
ep7 it3700/4818 loss=42.812
ep7 it3800/4818 loss=36.463
ep7 it3900/4818 loss=42.734
ep7 it4000/4818 loss=66.118
ep7 it4100/4818 loss=7.574
ep7 it4200/4818 loss=14.677
ep7 it4300/4818 loss=67.306
ep7 it4400/4818 loss=39.850
ep7 it4500/4818 loss=24.051
ep7 it4600/4818 loss=53.183
ep7 it4700/4818 loss=42.238
ep7 it4800/4818 loss=14.015
== ep7 val_loss=54.9707 ==
ep8 it0/4818 loss=54.252
ep8 it100/4818 loss=26.924
ep8 it200/4818 loss=6.022
ep8 it300/4818 loss=51.290
ep8 it400/4818 loss=92.337
ep8 it500/4818 loss=61.882
ep8 it600/4818 loss=45.849
ep8 it700/4818 loss=44.605
ep8 it800/4818 loss=14.678
ep8 it900/4818 loss=39.290
ep8 it1000/4818 loss=39.825
ep8 it1100/4818 loss=29.354
ep8 it1200/4818 loss=13.231
ep8 it1300/4818 loss=23.133
ep8 it1400/4818 loss=21.449
ep8 it1500/4818 loss=18.345
ep8 it1600/4818 loss=30.323
ep8 it1700/4818 loss=47.642
ep8 it1800/4818 loss=38.794
ep8 it1900/4818 loss=70.985
ep8 it2000/4818 loss=11.661
ep8 it2100/4818 loss=32.841
ep8 it2200/4818 loss=53.992
ep8 it2300/4818 loss=90.058
ep8 it2400/4818 loss=87.843
ep8 it2500/4818 loss=74.217
ep8 it2600/4818 loss=18.597
ep8 it2700/4818 loss=36.247
ep8 it2800/4818 loss=57.271
ep8 it2900/4818 loss=18.671
ep8 it3000/4818 loss=60.175
ep8 it3100/4818 loss=46.212
ep8 it3200/4818 loss=43.711
ep8 it3300/4818 loss=14.496
ep8 it3400/4818 loss=28.884
ep8 it3500/4818 loss=24.040
ep8 it3600/4818 loss=115.167
ep8 it3700/4818 loss=35.268
ep8 it3800/4818 loss=65.806
ep8 it3900/4818 loss=73.616
ep8 it4000/4818 loss=44.342
ep8 it4100/4818 loss=19.030
ep8 it4200/4818 loss=107.697
