url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,reject_reasons
https://www.youtube.com/watch?v=ZiajCS7Y-1k,#NADIEDICENADA | RISAS ASEGURADAS CON MARLEY Y FLOR PEÑA Y ¿MOMI SE HACE PIS EN VIVO?,LUZU TV,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=RgRQ9AONCJ0,"""No vi más a Charly García. Intenté lo que pude"": PIPO CIPOLATTI sobre LOS TWIST #TodoPasa",Urbana Play 104.3 FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=XLHm79eRtPI,Lizy Tagliani sobre la charla que tuvo con su hijo de 5 años a raíz del comentario 'MAMÁ ES UN VARÓN,Urbana Play 104.3 FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=KxjKmHD38wE,"Roxette llegó a la Argentina, oyentes cuentan su #UnaBuena, Santi Bilinkis sobre Claude #TodoPasa",Urbana Play 104.3 FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=ltp3UGqvlqQ,"""La justicia argentina es machista"": MAURO SZETA sobre el CASO AGOSTINA VEGA #TodoPasa",Urbana Play 104.3 FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=MnuIQ1uJokg,Hablemos de guita con Claudio Zuchovicki,Aprender de Grandes,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=zSIcMPX5KjA,Nico Occhiato y construir el canal de streaming más grande de habla hispana | Aprender de Grandes,Aprender de Grandes,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=bnGAijvSal0,Diego Pol y el hallazgo del dinosaurio más grande conocido hasta ahora,Aprender de Grandes,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=3r8cnVtv5GM,En el país de los piolas | José Nesis | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=g6zBmBUOMhY,Zombies en la escuela | Juli Garbulsky | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=W9AtwP_fklk,Tiempo: El festival de ideas de TEDxRíodelaPlata 2025 en VIVO,TEDxRiodelaPlata,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_mayor_a_14400s|asr_not_run
https://www.youtube.com/watch?v=DC-OdcjzED0,La cancion que cada uno tiene adentro | Leonardo Oyola | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:cancion|asr_not_run
https://www.youtube.com/watch?v=tnJ7YS5x3EM,Salir de la cárcel | Andrea Casamento | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
