url,title,channel,channel_url,video_id,duration,duration_minutes,width,height,fps,upload_date,view_count,language,tags,source_type,expected_accent,expected_speaker_count,query,search_rank,notes
https://www.youtube.com/watch?v=h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,https://www.youtube.com/channel/UCvd-UIc-Rxtubx3uoiYbBGA,h3HtBhArO1Q,9480,158.0,640,360,30,20230514,1149690,es,Podcast|Tomás Rebord|el método|Andy Chango|Charly Garcia|Fito Paez,podcast,argentino/rioplatense_probable,1-2,Metodo Rebord entrevista completa,2,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,https://www.youtube.com/channel/UCJFP-5V2-0BFeVmKifG0H_Q,ITovsJg-q5c,7850,130.833,640,360,25,20250607,1876870,es,,podcast,argentino/rioplatense_probable,1-2,influencers argentinos entrevista completa,8,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,https://www.youtube.com/channel/UCMoXshslRbfA7MLTu0dasUA,EuSM3LscaWI,3426,57.1,640,360,25,20190730,608317,es,MercadoLibre|Aprender de Grandes|Marcos Galperin|MercadoPago|Gerry Garbulsky|Podcast|Emprendedurismo,podcast,argentino/rioplatense_probable,1-2,Aprender de Grandes entrevista argentina completa,3,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=3tmLBV115Ws,"Autismo, del que no se nota | Valentín Muro en Aprender de Grandes",Aprender de Grandes,https://www.youtube.com/channel/UCMoXshslRbfA7MLTu0dasUA,3tmLBV115Ws,1761,29.35,640,360,30,20210329,565076,es,Valentín Muro|Cómo funcionan las cosas|Gerry Garbulsky|Autismo|Escribir|Ciencia|Medios|Aprender de Grandes|Filosofía,podcast,argentino/rioplatense_probable,1-2,Aprender de Grandes entrevista argentina completa,5,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=dB4HR5WpYZc,“La primera estrella” retrata la hazaña uruguaya que cambió la visión sobre el fútbol rioplatense,En Perspectiva + VIDEO ,https://www.youtube.com/channel/UCzj1iuImjo-Eb8JMELC1Jwg,dB4HR5WpYZc,1547,25.783,640,360,30,20260612,519,es,Emiliano Cotelo|radio|En Perspectiva|1170 AM|Radiomundo|Uruguay|Romina Andrioli|Periodismo,podcast,argentino/rioplatense_probable,1-2,podcast rioplatense video completo,3,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,https://www.youtube.com/channel/UCLH4dyg0-T84kf1le42XyWw,vDNy6EN7bIY,813,13.55,640,360,30,20251123,438,es,spanish|learn spanish|argentina|ARGENTINE SPANISH,podcast,argentino/rioplatense_probable,1-2,podcast rioplatense video completo,4,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=KwkcN7sjhjc,"Conferencia internacional UNSAM- The New School: “Estado, Educación y Desarrollo con Inclusión”",UNSAM National University of San Martín Argentina,https://www.youtube.com/channel/UCt1DuTt6cEvUckJD_y3ZZbw,KwkcN7sjhjc,8756,145.933,640,360,25,20140820,123,es,unsam|universidad nacional de san martin|campus miguelete|The New School (College/University)|flacso|National University Of General San Martín (College/University)|Education (TV Genre)|Inclusion|Universidad|clad|beca nestor kirchner,educational,argentino/rioplatense_probable,1,UNSAM charla argentina speaker,4,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=OA1biHKSyTw,El Método Rebord #48 - Alejandro Dolina,El Método Rebord,https://www.youtube.com/channel/UCvd-UIc-Rxtubx3uoiYbBGA,OA1biHKSyTw,7394,123.233,640,360,30,20230319,1310380,es,Podcast|Tomás Rebord|el método|Alejandro Dolina|Peronismo|Borges|Literatura|Radio,educational,argentino/rioplatense_probable,1,Metodo Rebord entrevista completa,3,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,https://www.youtube.com/channel/UC5QpydQoyrVsEbtjwSTGuew,OrwtPwftIi4,5309,88.483,492,360,25,20150824,1989727,es,media training|media coach|oratoria|vocero|hablar en publico|conferencias|disertar|ventas|orador|marketing|relaciones publicas|comunicacion|comunicaciones|discursos|comunicador|daniel colombo|colombo|coach|entrenador|miedo a hablar en publico,educational,argentino/rioplatense_probable,1,clases charlas argentinas speaker visible,3,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=_nqNA76G29M,LA CHARLA DEL AÑO: MESSI EN LUZU COMO NUNCA LO VISTE,LUZU TV,https://www.youtube.com/channel/UCTHaNTsP7hsVgBxARZTuajw,_nqNA76G29M,4494,74.9,640,360,30,20260106,6589716,es,NADIE DICE NADA|LUZU TV|NICO OCCHIATO|FLOR JAZMIN|FLOR JAZMIN PEÑA|ANTES QUE NADIE|DIEGO LEUCO|MICA VAZQUEZ|TRINCHE|FEDE POPGOLD|MOMI GIARDINA|VICKY GARABAL|YOYI FRANCELLA|MARTIN GARABAL|PACHU PEÑA|BELEN NEGRI|LUCAS SPADAFORA|CAMI MAYAN|SANTI TALLEDO|GABRIEL SCHULTZ,educational,argentino/rioplatense_probable,1,canales argentinos conversacion larga,4,ytsearch_metadata_no_download
